date,item,cost,urgent,qty,machine,capacity
2021-02-10,S00341,2990,0,500,410.0,4.6
2021-03-10,S00341,2990,0,500,410.0,4.6
2021-04-10,S00341,2990,0,500,410.0,4.6
2021-05-10,S00341,2990,0,398,410.0,4.6
2021-02-18,052996,20000,0,2,410.0,25.0
2021-02-18,052996,20000,0,2,421.0,200.0
2021-05-30,052996,20000,0,2,410.0,25.0
2021-05-30,052996,20000,0,2,421.0,200.0
2021-05-13,066157,18500,1,208,408.0,4.59
2021-05-13,066157,18500,1,208,409.0,6.02
2021-05-13,066157,18500,1,208,434.0,4.17
2021-05-13,K04033,25870,1,318,404.0,12.84
2021-05-13,K04033,25870,1,318,405.0,10.42
2021-05-13,K04033,25870,1,318,407.0,8.69
2021-05-13,K04033,25870,1,318,408.0,9.12
2021-05-13,K04033,25870,1,318,409.0,10.33
2021-05-13,K04033,25870,1,318,410.0,8.99
2021-05-13,K04033,25870,1,318,412.0,12.32
2021-05-13,K04033,25870,1,318,416.0,11.23
2021-05-13,K04033,25870,1,318,422.0,4.0
2021-05-13,K04033,25870,1,318,424.0,9.87
2021-05-13,K04033,25870,1,318,426.0,11.77
2021-05-13,K04033,25870,1,318,433.0,9.54
2021-05-13,K04033,25870,1,318,434.0,13.05
2021-05-13,K04033,25870,1,318,435.0,9.0
2021-05-13,K04033,25870,1,318,436.0,9.0
2021-05-13,K04033,25870,1,318,438.0,4.4
2021-05-13,K04033,25870,1,318,439.0,12.47
2021-05-13,K04033,25870,1,318,440.0,9.4
2021-05-24,K04031,16229,1,383,407.0,4.85
2021-05-24,K04031,16229,1,383,408.0,3.83
2021-05-24,K04031,16229,1,383,409.0,5.37
2021-05-24,K04031,16229,1,383,410.0,3.09
2021-05-24,K04031,16229,1,383,416.0,2.73
2021-05-24,K04031,16229,1,383,424.0,3.94
2021-05-24,K04031,16229,1,383,425.0,5.47
2021-05-24,K04031,16229,1,383,426.0,6.25
2021-05-24,K04031,16229,1,383,433.0,3.37
2021-05-24,K04031,16229,1,383,434.0,3.86
2021-05-24,K04031,16229,1,383,435.0,3.8
2021-05-24,K04031,16229,1,383,436.0,4.53
2021-05-24,K04031,16229,1,383,440.0,3.85
2021-05-30,051718,8333,0,19,408.0,4.89
2021-05-30,051718,8333,0,19,409.0,5.92
2021-05-30,051718,8333,0,19,410.0,4.91
2021-05-30,051718,8333,0,19,412.0,3.5
2021-05-30,051718,8333,0,19,416.0,1.03
2021-05-30,051718,8333,0,19,424.0,4.6
2021-05-30,051718,8333,0,19,425.0,4.54
2021-05-30,051718,8333,0,19,426.0,3.83
2021-05-30,051718,8333,0,19,433.0,4.64
2021-05-30,051718,8333,0,19,434.0,7.12
2021-05-30,051718,8333,0,19,435.0,1.32
2021-05-30,051718,8333,0,19,439.0,3.0
2021-05-30,051718,8333,0,19,440.0,1.83
2021-05-30,K04101,15640,0,15,408.0,8.17
2021-05-30,K04101,15640,0,15,409.0,10.62
2021-05-30,K04101,15640,0,15,416.0,8.22
2021-05-30,K04101,15640,0,15,424.0,9.32
2021-05-30,K04101,15640,0,15,425.0,12.5
2021-05-30,K04101,15640,0,15,426.0,11.21
2021-05-31,S00271,4000,0,150,425.0,1.32
